"","Trial","correct","faceVal","houseVal","mult1House","mult2Face","summedVal","earnings","selection","rt","flip","participant","subject","finalEarnings","accuracy"
"961",93,1,-0.4,0.56,1,1,0.16,12.5,"['f']",2.07204354479472,NA,2,2,13.36,0.79
"971",94,1,-0.76,0.16,1,1,-0.6,12.5,"['j']",1.3733531515536,NA,2,2,13.36,0.79
"981",95,1,-0.76,0.32,1,1,-0.44,12.5,"['j']",3.06282278590515,NA,2,2,13.36,0.79
"991",96,1,0.56,-0.44,1,1,0.12,12.62,"['f']",1.88973968609935,NA,2,2,13.36,0.79
"1001",97,0,-0.9,0.56,1,1,-0.34,12.28,"['f']",2.58979145502963,NA,2,2,13.36,0.79
"1011",98,0,-0.26,0.02,1,1,-0.24,12.04,"['f']",3.3447798858906,NA,2,2,13.36,0.79
"1021",99,0,0.2,-0.62,1,1,-0.42,11.62,"['f']",3.04662719248154,NA,2,2,13.36,0.79
"1031",100,1,0.86,0.88,1,1,1.74,13.36,"['f']",1.16102120903815,NA,2,2,13.36,0.79
"412",1,1,-0.38,0.98,1,1,0.6,0.6,"['f']",5.43367172450235,NA,3,3,27.04,0.86
"512",2,1,-0.6,-0.02,1,1,-0.62,0.6,"['j']",2.15017603794695,NA,3,3,27.04,0.86
"612",3,0,0.2,-0.96,1,1,-0.76,-0.16,"['f']",1.48354810390447,NA,3,3,27.04,0.86
"712",4,1,0.54,0.14,1,1,0.68,0.52,"['f']",2.78375758997572,NA,3,3,27.04,0.86
"812",5,0,-0.62,0.9,1,1,0.28,0.24,"['j']",3.11683531242306,NA,3,3,27.04,0.86
"912",6,1,-0.92,-0.62,1,1,-1.54,0.24,"['j']",1.3335469126032,NA,3,3,27.04,0.86
"105",7,1,-0.5,0.76,1,1,0.26,0.5,"['f']",2.65017952022026,NA,3,3,27.04,0.86
"112",8,1,-0.92,0.4,1,1,-0.52,0.5,"['j']",1.9001427730982,NA,3,3,27.04,0.86
"122",9,1,0.6,0.52,1,1,1.12,1.62,"['f']",1.46706486737821,NA,3,3,27.04,0.86
"132",10,1,0.9,-0.88,1,1,0.02,1.64,"['f']",1.13350915745832,NA,3,3,27.04,0.86
"142",11,1,-0.44,-0.44,1,1,-0.88,1.64,"['j']",3.03372744083754,NA,3,3,27.04,0.86
"152",12,1,-0.96,0.2,1,1,-0.76,1.64,"['j']",2.15021892485674,NA,3,3,27.04,0.86
