"parcode","trial","rt","choice","face_val_tot","house_val_tot","face_mult","house_mult","face_bin","house_bin","face_bin_val","house_bin_val"
156,67,7841.23540294,1,-0.028,0.28,0.1,0.5,5,7,0,0.39
156,68,3852.79616085,-1,-0.56,-0.02,1,1,2,5,-0.72,0
156,69,4889.02459617,1,-2,1.4,2,2,1,9,-1.42,1.52
156,70,5972.6113666,1,1.8,-0.52,10,1,9,2,1.52,-0.72
156,71,6973.44604149,-1,0.006,0.38,0.1,1,5,7,0,0.39
156,72,5021.97887053,-1,-9.6,1.36,10,2,0,9,0,1.52
156,73,2352.30521098,-1,0.058,-0.92,0.1,2,6,1,0.12,-1.42
156,74,3269.72467746,-1,-0.36,0.2,1,1,3,6,-0.375,0.12
156,75,5939.84722265,1,0.22,1.08,0.5,3,6,9,0.12,1.52
156,76,4771.8477202,1,0.96,-0.4,1,1,9,3,1.52,-0.375
156,77,2886.45417008,-1,0.32,0.6,2,3,7,8,0.39,0.72
156,78,1851.98161672,-1,-0.06,-0.36,0.5,1,4,3,-0.1,-0.375
156,79,9108.93739099,-1,-1.76,-8.8,2,10,1,0,-1.42,0
156,80,4371.00787743,-1,0.68,-5,2,10,8,0,0.72,0
156,81,1869.02725222,-1,-2.34,-0.78,3,3,1,2,-1.42,-0.72
156,82,3754.05213924,-1,-7.8,-0.6,10,1,0,2,0,-0.72
156,83,4187.59423145,1,0.64,-0.92,1,1,8,1,0.72,-1.42
156,84,3320.22881749,-1,-0.36,-0.74,3,1,3,2,-0.375,-0.72
156,85,4070.71991762,-1,0.12,1.92,2,3,6,9,0.12,1.52
156,86,4454.64302175,-1,-0.2,0.12,0.5,2,4,6,-0.1,0.12
156,87,2085.77621458,-1,-0.074,-1.68,0.1,3,4,1,-0.1,-1.42
156,88,1835.3004379,-1,-2.58,0.014,3,0.1,1,5,-1.42,0
156,89,4270.93732968,1,-2.6,2.94,10,3,1,99,-1.42,99
156,90,2284.4675958,1,-0.06,1.28,1,2,4,9,-0.1,1.52
156,91,1551.8955653,1,2.1,2.94,3,3,9,99,1.52,99
156,92,4971.79471925,1,0.16,0.14,1,1,6,6,0.12,0.12
156,93,5322.94346386,1,-0.24,-0.01,3,0.1,4,5,-0.1,0
156,94,4837.99315075,1,-0.9,0.24,1,1,2,6,-0.72,0.12
156,95,3804.09447389,-1,-0.66,-2.58,3,3,2,1,-0.72,-1.42
156,96,2102.06108811,1,0.68,0.06,1,1,8,6,0.72,0.12
156,97,2018.8552996,1,6.2,0.11,10,0.5,99,6,99,0.12
156,98,5122.14195961,-1,-0.96,-0.42,1,1,1,3,-1.42,-0.375
156,99,2402.71170184,1,-0.1,0.64,1,1,4,8,-0.1,0.72
156,100,4804.99675206,-1,-2.8,-0.16,10,0.5,0,4,0,-0.1
156,1,9509.43891701,-1,-0.9,0.76,1,1,2,8,-0.72,0.72
156,2,3036.16834353,1,0.7,-0.38,1,1,8,3,0.72,-0.375
156,3,7090.5084426,-1,0.78,1.4,1,10,8,9,0.72,1.52
156,4,2918.55429986,1,0.002,0.88,0.1,1,5,8,0,0.72
156,5,3003.50515379,1,-0.38,0.54,1,1,3,8,-0.375,0.72
156,6,3453.2230529,1,-0.08,0.4,1,10,4,7,-0.1,0.39
156,7,2853.40338835,1,-1,5.2,10,10,1,99,-1.42,99
156,8,2336.43587216,1,-0.34,-0.32,1,1,3,3,-0.375,-0.375
156,9,2569.3170749,1,0.44,0.82,1,1,7,8,0.39,0.72
156,10,3553.55319715,-1,0.08,-0.88,1,1,6,2,0.12,-0.72
156,11,2536.15872885,-1,-0.006,-0.08,0.1,0.1,5,4,0,-0.1
156,12,6823.45003757,1,0.54,-0.058,3,0.1,8,4,0.72,-0.1
156,13,5939.23128187,-1,0.34,-0.72,1,1,7,2,0.39,-0.72
156,14,6673.30019872,-1,-0.52,0.24,1,1,3,6,-0.375,0.12
156,15,3386.2919223,-1,0.016,-1.32,0.1,3,5,1,0,-1.42
156,16,3003.43514685,1,5.8,-1.36,10,2,99,1,99,-1.42
156,17,7723.76527908,1,0.4,-0.042,2,0.1,7,5,0.39,0
156,18,3920.44598921,-1,-0.07,-8,0.5,10,4,0,-0.1,0
156,19,6573.49826125,1,0.56,-1.32,2,2,8,1,0.72,-1.42
156,20,2769.26106936,1,0.42,0.34,1,1,7,7,0.39,0.39
156,21,3103.4939767,1,0.28,-0.42,1,1,7,3,0.39,-0.375
156,22,2986.9787113,1,0.36,-0.22,2,1,7,4,0.39,-0.1
156,23,2569.57426772,1,0.48,-0.4,1,1,7,3,0.39,-0.375
156,24,2168.98981505,1,0.22,0.56,1,1,6,8,0.12,0.72
156,25,1569.51988465,-1,-0.58,0.26,1,1,2,7,-0.72,0.39
156,26,1168.32129395,-1,-0.1,-6.4,0.1,10,4,0,-0.1,0
156,27,1351.63218298,1,1.4,0.088,10,0.1,9,6,1.52,0.12
156,28,2869.73693621,-1,0.032,-0.18,0.1,3,5,4,0,-0.1
156,29,3803.99321925,1,-0.6,0.44,10,0.5,2,7,-0.72,0.39
156,30,3253.27515247,-1,-0.35,-0.066,0.5,0.1,3,4,-0.375,-0.1
156,31,3153.21902672,-1,0.29,0.06,0.5,1,7,6,0.39,0.12
156,32,5054.80100308,-1,0.058,-0.43,0.1,0.5,6,3,0.12,-0.375
156,33,3136.93956149,1,-2.7,0.048,3,0.1,0,5,0,0
156,34,5005.10599892,1,-0.78,-1.56,3,2,2,1,-0.72,-1.42
156,35,4404.59918478,1,-0.076,0.92,0.1,2,4,8,-0.1,0.72
156,36,2752.87193659,1,-2.94,6.6,3,10,0,99,0,99
156,37,4287.86758895,1,1.72,-1.76,2,2,9,1,1.52,-1.42
156,38,2152.36572342,1,0.8,0.62,1,1,8,8,0.72,0.72
156,39,3336.68705579,1,0.8,0.24,1,1,8,6,0.72,0.12
