,choice,correct,earnings,face_mult,face_val_base,first_image,house_mult,house_val_base,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial,face_val_total,house_val_total
74,1.0,1.0,43.68,1.0,0.04,1.0,1.0,0.72,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,3.33345185398,"[1.7334495079994667, 3.333451853977749]",0.76,75.0,0.04,0.72
75,0.0,1.0,43.68,1.0,-0.68,0.0,1.0,0.04,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']",1.0,4.0,124,0.0,4.20013775275,"[0.9336162188992603, 2.1835689328290755, 3.0501529282919364, 4.20013775274856]",-0.64,76.0,-0.68,0.04
76,0.0,0.0,43.66,1.0,0.96,0.0,1.0,-0.94,"[0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'j']",0.0,7.0,124,0.0,5.78360170318,"[1.0835929790773662, 2.2335946652456187, 2.8502541718044085, 3.316910892506712, 3.7167666883178754, 4.633594885177445, 5.783601703180466]",0.02,77.0,0.96,-0.94
77,1.0,1.0,46.1,0.5,-0.04,1.0,3.0,0.82,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,3.01678362333,"[1.1502601100655738, 3.0167836233304115]",2.44,78.0,-0.02,2.46
78,1.0,1.0,46.648,0.1,-0.52,1.0,1.0,0.6,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,4.25027675182,"[1.866779004689306, 4.250276751816273]",0.548,79.0,-0.052,0.6
79,1.0,0.0,46.618,10.0,0.0,0.0,0.5,-0.06,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,3.75026942065,"[1.3334338926069904, 3.750269420648692]",-0.03,80.0,0.0,-0.03
80,1.0,1.0,46.838,1.0,-0.58,0.0,1.0,0.8,"[0, 1]","['space', 'f']",1.0,2.0,124,0.0,3.38360954753,"[1.7669328127230983, 3.3836095475271577]",0.22,81.0,-0.58,0.8
81,0.0,1.0,46.838,0.5,0.68,0.0,1.0,-0.8,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']",1.0,4.0,124,0.0,5.66680400398,"[1.4837680475175148, 3.1502707402542, 3.9834627041127533, 5.66680400398036]",-0.46,82.0,0.34,-0.8
82,1.0,1.0,52.838,2.0,1.0,1.0,10.0,0.4,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,3.70022242783,"[1.7502613563556224, 3.7002224278257927]",6.0,83.0,2.0,4.0
83,1.0,1.0,53.858,2.0,0.72,1.0,0.5,-0.84,"[1, 0, 1, 0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'space', 'space', 'space', 'f']",0.0,8.0,124,0.0,10.3836363063,"[2.916943296295358, 3.716795646454557, 4.333598110897583, 4.783591072977288, 5.150257177578169, 5.900279537672759, 7.816919689925271, 10.383636306316475]",1.02,84.0,1.44,-0.42
84,0.0,1.0,53.858,0.1,0.1,1.0,3.0,-0.5,"[1, 0]","['space', 'j']",0.0,2.0,124,0.0,4.46692504168,"[2.950269347333233, 4.466925041677314]",-1.49,85.0,0.01,-1.5
85,0.0,1.0,53.858,10.0,-0.66,0.0,10.0,-0.82,"[0, 1, 0]","['space', 'space', 'j']",0.0,3.0,124,0.0,3.00024632744,"[1.0667543719464447, 2.516904587697354, 3.0002463274431648]",-14.8,86.0,-6.6,-8.2
86,0.0,0.0,53.7,0.1,0.78,0.0,2.0,0.04,"[0, 1]","['space', 'j']",1.0,2.0,124,0.0,3.1502641422,"[0.8667713069589809, 3.150264142197557]",0.158,87.0,0.078,0.08
87,0.0,1.0,53.7,2.0,0.28,0.0,3.0,-0.4,"[0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'j']",0.0,5.0,124,0.0,4.78361343306,"[0.5502614296710817, 2.083451120866812, 2.5669006288808305, 4.100278364683618, 4.783613433057326]",-0.64,88.0,0.56,-1.2
88,1.0,1.0,57.22,3.0,0.84,1.0,2.0,0.5,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,2.61691939668,"[1.266929147139308, 2.616919396677986]",3.52,89.0,2.52,1.0
89,0.0,1.0,57.22,1.0,-0.94,1.0,1.0,0.54,"[1, 0, 1, 0]","['space', 'space', 'space', 'j']",0.0,4.0,124,0.0,3.18345566619,"[0.9669283407129114, 2.283567979786312, 2.7667843564559007, 3.183455666192458]",-0.4,90.0,-0.94,0.54
90,1.0,1.0,58.67,3.0,0.46,0.0,0.1,0.7,"[0, 1, 0]","['space', 'space', 'f']",0.0,3.0,124,0.0,4.13358388843,"[1.0836354998900788, 2.7169283407129114, 4.133583888426074]",1.45,91.0,1.38,0.07
91,0.0,1.0,58.67,0.5,-0.7,0.0,3.0,-0.84,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']",1.0,4.0,124,0.0,10.5836508954,"[1.5502559312881203, 4.70012125762878, 6.400264142197557, 10.583650895365281]",-2.87,92.0,-0.35,-2.52
92,1.0,1.0,60.112,2.0,0.7,1.0,0.1,0.42,"[1, 0]","['space', 'f']",0.0,2.0,124,0.0,3.05026032998,"[1.7169342056440655, 3.050260329982848]",1.442,93.0,1.4,0.042
93,1.0,1.0,60.912,1.0,0.18,0.0,1.0,0.62,"[0, 1, 0]","['space', 'space', 'f']",0.0,3.0,124,0.0,2.45024808694,"[0.9335945919447113, 1.8501126801565988, 2.4502480869414285]",0.8,94.0,0.18,0.62
94,1.0,1.0,61.452,3.0,0.42,1.0,3.0,-0.24,"[1, 0, 1, 0, 1, 0, 1]","['space', 'space', 'space', 'space', 'space', 'space', 'f']",1.0,7.0,124,0.0,5.38347465394,"[0.7002708135696594, 1.3501240434707142, 1.716775852284627, 2.916912505374057, 4.466799678601092, 4.900133647301118, 5.383474653935991]",0.54,95.0,1.26,-0.72
