,correct,earnings,face_mult,face_val,first_image,house_mult,house_val,image_list,key_entry_list,last_image,num_fixations,participant,round_num,rt,rt_list,summed_val,trial
738,1.0,4.75,1.0,-1.0,1.0,3.0,0.5,[1],['f'],1.0,1.0,117,1.0,9.91703200351,[9.917032003508211],0.5,39.0
739,1.0,4.75,2.0,-1.0,1.0,2.0,-0.25,[1],['j'],1.0,1.0,117,1.0,9.66702980415,[9.667029804153572],-2.5,40.0
740,1.0,6.25,3.0,1.0,0.0,2.0,-0.75,[0],['f'],0.0,1.0,117,1.0,1.73343777813,[1.7334377781262447],1.5,41.0
741,0.0,4.5,1.0,0.5,1.0,3.0,-0.75,[1],['f'],1.0,1.0,117,1.0,4.41678714229,[4.416787142292378],-1.75,42.0
742,1.0,7.5,1.0,0.75,0.0,3.0,0.75,[0],['f'],0.0,1.0,117,1.0,1.75024742712,[1.7502474271241226],3.0,43.0
743,1.0,7.5,1.0,0.5,1.0,3.0,-0.75,[1],['j'],1.0,1.0,117,1.0,2.18370529267,[2.1837052926675824],-1.75,44.0
744,1.0,12.0,3.0,0.5,0.0,3.0,1.0,[0],['f'],0.0,1.0,117,1.0,1.61694029052,[1.6169402905197785],4.5,45.0
745,1.0,12.75,1.0,0.75,0.0,1.0,0.0,[0],['f'],0.0,1.0,117,1.0,1.55011773866,[1.5501177386558993],0.75,46.0
746,1.0,15.5,3.0,1.0,0.0,1.0,-0.25,[0],['f'],0.0,1.0,117,1.0,1.58362560281,[1.5836256028051139],2.75,47.0
747,1.0,16.5,1.0,1.0,0.0,1.0,0.0,[0],['f'],0.0,1.0,117,1.0,4.03395249986,[4.033952499856241],1.0,48.0
748,0.0,14.75,1.0,-0.75,0.0,1.0,-1.0,[0],['f'],0.0,1.0,117,1.0,2.41683002966,[2.4168300296623784],-1.75,49.0
749,0.0,13.0,1.0,-1.0,0.0,3.0,-0.25,[0],['f'],0.0,1.0,117,1.0,2.25059419166,[2.250594191657001],-1.75,50.0
750,1.0,13.0,2.0,-0.75,1.0,1.0,0.25,[1],['j'],1.0,1.0,117,1.0,5.08347751309,[5.083477513089747],-1.25,51.0
751,1.0,14.25,1.0,0.75,0.0,1.0,0.5,[0],['f'],0.0,1.0,117,1.0,1.21695253358,[1.2169525335812068],1.25,52.0
752,1.0,14.25,2.0,-0.25,0.0,2.0,-1.0,[0],['j'],0.0,1.0,117,1.0,7.00011399976,[7.00011399975665],-2.5,53.0
753,1.0,15.25,3.0,0.0,1.0,2.0,0.5,[1],['f'],1.0,1.0,117,1.0,7.93365544068,[7.933655440683651],1.0,54.0
754,1.0,15.5,1.0,0.25,1.0,1.0,0.0,[1],['f'],1.0,1.0,117,1.0,20.7337214946,[20.733721494563724],0.25,55.0
755,1.0,15.5,2.0,-0.5,0.0,1.0,-0.25,[0],['j'],0.0,1.0,117,1.0,6.10033701407,[6.100337014071556],-1.25,56.0
756,1.0,18.0,1.0,1.0,0.0,3.0,0.5,[0],['f'],0.0,1.0,117,1.0,1.1669619908,[1.1669619907952438],2.5,57.0
757,0.0,17.75,1.0,0.5,0.0,1.0,-0.75,[0],['f'],0.0,1.0,117,1.0,1.21679088119,[1.2167908811916277],-0.25,58.0
758,0.0,17.5,1.0,0.0,0.0,1.0,-0.25,[0],['f'],0.0,1.0,117,1.0,4.30013716627,[4.3001371662667225],-0.25,59.0
759,1.0,17.5,2.0,-1.0,0.0,2.0,-1.0,[0],['j'],0.0,1.0,117,1.0,5.53363835905,[5.5336383590492915],-4.0,60.0
760,0.0,16.0,1.0,-0.5,0.0,1.0,-1.0,[0],['f'],0.0,1.0,117,1.0,3.65028210358,[3.6502821035774105],-1.5,61.0
761,1.0,16.0,2.0,-0.75,0.0,3.0,-1.0,[0],['j'],0.0,1.0,117,1.0,5.63347245458,[5.6334724545795325],-4.5,62.0
762,1.0,16.5,1.0,-0.25,1.0,1.0,0.75,[1],['f'],1.0,1.0,117,1.0,3.75012756243,[3.750127562427224],0.5,63.0
763,1.0,18.5,3.0,0.5,0.0,2.0,0.25,[0],['f'],0.0,1.0,117,1.0,3.08344965463,[3.0834496546285663],2.0,64.0
764,1.0,18.5,1.0,0.25,1.0,2.0,-0.5,[1],['j'],1.0,1.0,117,1.0,5.35024024257,[5.350240242572909],-0.75,65.0
765,1.0,20.25,2.0,1.0,0.0,1.0,-0.25,[0],['f'],0.0,1.0,117,1.0,3.81693471883,[3.816934718826815],1.75,66.0
766,0.0,19.0,1.0,0.75,0.0,2.0,0.25,[0],['j'],0.0,1.0,117,1.0,3.06694534903,[3.066945349029993],1.25,67.0
767,0.0,17.0,2.0,-0.75,0.0,1.0,-0.5,[0],['f'],0.0,1.0,117,1.0,3.00038378696,[3.0003837869608105],-2.0,68.0
768,1.0,17.5,1.0,0.5,1.0,1.0,0.0,[1],['f'],1.0,1.0,117,1.0,1.9167746793,[1.9167746792973048],0.5,69.0
